run,seed,scenario_name,final_hp,fired_at_step,firing_range,steps,initial_range
24,24,Static_Close,0.650846908741877,11,788.0093822840106,12,786.4215069335452
24,24,Fast_Approach_Long,0.509347049381398,10,2622.3860728762224,11,3022.4213457981577
24,24,Medium_Approach,0.6403085285572112,15,1833.2430077982185,16,2013.9374621016802
24,24,Complex_3D_Motion,0.5012850992154936,21,1973.236176656188,22,1843.6455487235812
24,24,ExtremeLong_Large_Lateral,0.5774428764053839,24,2860.9802952144732,25,2859.2847408912357
25,25,Static_Close,0.6894447627532854,12,774.4733839040606,13,772.8576986585606
25,25,Fast_Approach_Long,0.5346211850913987,9,2564.9688116206944,10,2914.979539338845
25,25,Medium_Approach,0.639366551912883,15,1754.012773963007,16,1938.61657607352
25,25,Complex_3D_Motion,0.5695219854258817,20,1843.6518966535632,21,1731.8306029268092
25,25,ExtremeLong_Large_Lateral,0.5358284755195571,25,3086.9042430702025,26,3085.7121715893995
26,26,Static_Close,0.753305594168115,14,800.8902004356243,15,799.3279134083924
26,26,Fast_Approach_Long,0.5310669237270488,9,2495.4574972161313,10,2870.2823274576976
26,26,Medium_Approach,0.6416862931086309,16,1825.5170859279526,17,2009.667336916975
26,26,Complex_3D_Motion,0.521012467110318,20,1918.8344817109632,21,1809.7797150646247
26,26,ExtremeLong_Large_Lateral,0.5567669885706645,25,3007.178610321848,26,3005.935453270496
27,27,Static_Close,0.6831733541601634,12,817.3496639880575,13,815.8188973181428
27,27,Fast_Approach_Long,0.5132323624419876,9,2539.552800456103,10,2886.359129658488
27,27,Medium_Approach,0.614612836417124,16,1896.232090819211,17,2057.933462653158
27,27,Complex_3D_Motion,0.5333551646986873,21,1894.30714469528,22,1762.7604648185225
27,27,ExtremeLong_Large_Lateral,0.5329080104984986,25,3123.3519798596194,26,3122.121044062609
28,28,Static_Close,0.6698894076536427,12,829.6547362392214,13,828.1467148785727
28,28,Fast_Approach_Long,0.4902370647495604,9,2753.8482063945357,10,3079.7125579672697
28,28,Medium_Approach,0.6305891359160216,16,1773.0520101802952,17,1965.8830068927946
28,28,Complex_3D_Motion,0.5204906872562798,21,1933.8597180291627,22,1805.870096962121
28,28,ExtremeLong_Large_Lateral,0.5805709082138105,24,2873.581018032907,25,2871.8163050593503
29,29,Static_Close,0.7207659091114285,13,765.6381271006564,14,764.0037576283254
29,29,Fast_Approach_Long,0.5099429200925076,9,2663.144988718675,10,3005.770208888913
29,29,Medium_Approach,0.6640360366577157,16,1728.6916414240618,17,1904.1462065153733
29,29,Complex_3D_Motion,0.5508993186110186,20,1826.298703332334,21,1714.2213516012002
29,29,ExtremeLong_Large_Lateral,0.5403077515445555,25,3109.6884322634774,26,3108.333563743435
